Transform(position=(0.0,0.0), direction=(0.0,0.0), speed=(0.0,0.0), rotate=20.0, time=149)
Transform(position=(0.0,0.0), direction=(0.0,0.0), speed=(0.0,0.0), rotate=20.0, time=150)
Transform(position=(0.0,0.0), direction=(0.0,0.0), speed=(0.0,0.0), rotate=20.0, time=151)
Transform(position=(0.0,0.0), direction=(0.0,0.0), speed=(0.0,0.0), rotate=20.0, time=152)
Transform(position=(0.0,0.0), direction=(0.0,0.0), speed=(0.0,0.0), rotate=20.0, time=153)
Transform(position=(0.0,0.0), direction=(0.0,0.0), speed=(0.0,0.0), rotate=20.0, time=154)
Transform(position=(0.0,0.0), direction=(0.0,0.0), speed=(0.0,0.0), rotate=20.0, time=155)
Transform(position=(0.0,0.0), direction=(0.0,0.0), speed=(0.0,0.0), rotate=20.0, time=156)
Transform(position=(0.0,0.0), direction=(0.0,0.0), speed=(0.0,0.0), rotate=20.0, time=157)
Transform(position=(0.0,0.0), direction=(0.0,0.0), speed=(0.0,0.0), rotate=20.0, time=158)
Transform(position=(0.0,0.0), direction=(0.0,0.0), speed=(0.0,0.0), rotate=20.0, time=159)
Transform(position=(0.0,0.0), direction=(0.0,0.0), speed=(0.0,0.0), rotate=20.0, time=160)
Transform(position=(0.0,0.0), direction=(0.0,0.0), speed=(0.0,0.0), rotate=20.0, time=161)
Transform(position=(0.0,0.0), direction=(0.0,0.0), speed=(0.0,0.0), rotate=20.0, time=162)
Transform(position=(0.0,0.0), direction=(0.0,0.0), speed=(0.0,0.0), rotate=20.0, time=163)
Transform(position=(0.0,0.0), direction=(0.0,0.0), speed=(0.0,0.0), rotate=20.0, time=164)
Transform(position=(0.0,0.0), direction=(0.0,0.0), speed=(0.0,0.0), rotate=20.0, time=165)
Transform(position=(0.0,0.0), direction=(0.0,0.0), speed=(0.0,0.0), rotate=20.0, time=166)
Transform(position=(0.0,0.0), direction=(0.0,0.0), speed=(0.0,0.0), rotate=20.0, time=167)
Transform(position=(0.0,0.0), direction=(0.0,0.0), speed=(0.0,0.0), rotate=20.0, time=168)
Transform(position=(0.0,0.0), direction=(0.0,0.0), speed=(0.0,0.0), rotate=20.0, time=169)
Transform(position=(0.0,0.0), direction=(0.0,0.0), speed=(0.0,0.0), rotate=20.0, time=170)
Transform(position=(0.0,0.0), direction=(0.0,0.0), speed=(0.0,0.0), rotate=20.0, time=171)
Transform(position=(0.0,0.0), direction=(0.0,0.0), speed=(0.0,0.0), rotate=20.0, time=172)
Transform(position=(0.0,0.0), direction=(0.0,0.0), speed=(0.0,0.0), rotate=20.0, time=173)
Transform(position=(0.0,0.0), direction=(0.0,0.0), speed=(0.0,0.0), rotate=20.0, time=174)
Transform(position=(0.0,0.0), direction=(0.0,0.0), speed=(0.0,0.0), rotate=20.0, time=175)
Transform(position=(0.0,0.0), direction=(0.0,0.0), speed=(0.0,0.0), rotate=20.0, time=176)
Transform(position=(0.0,0.0), direction=(0.0,0.0), speed=(0.0,0.0), rotate=20.0, time=177)
Transform(position=(0.0,0.0), direction=(0.0,0.0), speed=(0.0,0.0), rotate=20.0, time=178)
Transform(position=(0.0,0.0), direction=(0.0,0.0), speed=(0.0,0.0), rotate=20.0, time=179)
Transform(position=(0.0,0.0), direction=(0.0,0.0), speed=(0.0,0.0), rotate=20.0, time=180)
Transform(position=(0.0,0.0), direction=(0.0,0.0), speed=(0.0,0.0), rotate=20.0, time=181)
Transform(position=(0.0,0.0), direction=(0.0,0.0), speed=(0.0,0.0), rotate=20.0, time=182)
Transform(position=(0.0,0.0), direction=(0.0,0.0), speed=(0.0,0.0), rotate=20.0, time=183)
Transform(position=(0.0,0.0), direction=(0.0,0.0), speed=(0.0,0.0), rotate=20.0, time=184)
Transform(position=(0.0,0.0), direction=(0.0,0.0), speed=(0.0,0.0), rotate=20.0, time=185)
Transform(position=(0.0,0.0), direction=(0.0,0.0), speed=(0.0,0.0), rotate=20.0, time=186)
Transform(position=(0.0,0.0), direction=(0.0,0.0), speed=(0.0,0.0), rotate=20.0, time=187)
Transform(position=(0.0,0.0), direction=(0.0,0.0), speed=(0.0,0.0), rotate=20.0, time=188)
Transform(position=(0.0,0.0), direction=(0.0,0.0), speed=(0.0,0.0), rotate=20.0, time=189)
Transform(position=(0.0,0.0), direction=(0.0,0.0), speed=(0.0,0.0), rotate=20.0, time=190)
Transform(position=(0.0,0.0), direction=(0.0,0.0), speed=(0.0,0.0), rotate=20.0, time=191)
Transform(position=(0.0,0.0), direction=(0.0,0.0), speed=(0.0,0.0), rotate=20.0, time=192)
Transform(position=(0.0,0.0), direction=(0.0,0.0), speed=(0.0,0.0), rotate=20.0, time=193)
Transform(position=(0.0,0.0), direction=(0.0,0.0), speed=(0.0,0.0), rotate=20.0, time=194)
Transform(position=(0.0,0.0), direction=(0.0,0.0), speed=(0.0,0.0), rotate=20.0, time=195)
Transform(position=(0.0,0.0), direction=(0.0,0.0), speed=(0.0,0.0), rotate=20.0, time=196)
Transform(position=(0.0,0.0), direction=(0.0,0.0), speed=(0.0,0.0), rotate=20.0, time=197)
Transform(position=(0.0,0.0), direction=(0.0,0.0), speed=(0.0,0.0), rotate=20.0, time=198)
Transform(position=(0.0,0.0), direction=(0.0,0.0), speed=(0.0,0.0), rotate=20.0, time=199)
Transform(position=(0.0,0.0), direction=(0.0,0.0), speed=(0.0,0.0), rotate=20.0, time=200)
Transform(position=(0.0,0.0), direction=(0.0,0.0), speed=(0.0,0.0), rotate=20.0, time=201)
Transform(position=(0.0,0.0), direction=(0.0,0.0), speed=(0.0,0.0), rotate=20.0, time=202)
Transform(position=(0.0,0.0), direction=(0.0,0.0), speed=(0.0,0.0), rotate=20.0, time=203)
Transform(position=(0.0,0.0), direction=(0.0,0.0), speed=(0.0,0.0), rotate=20.0, time=204)
Transform(position=(0.0,0.0), direction=(0.0,0.0), speed=(0.0,0.0), rotate=20.0, time=205)
Transform(position=(0.0,0.0), direction=(0.0,0.0), speed=(0.0,0.0), rotate=20.0, time=206)
Transform(position=(0.0,0.0), direction=(0.0,0.0), speed=(0.0,0.0), rotate=20.0, time=207)
Transform(position=(0.0,0.0), direction=(0.0,0.0), speed=(0.0,0.0), rotate=20.0, time=208)
Transform(position=(0.0,0.0), direction=(0.0,0.0), speed=(0.0,0.0), rotate=20.0, time=209)
Transform(position=(0.0,0.0), direction=(0.0,0.0), speed=(0.0,0.0), rotate=20.0, time=210)
Transform(position=(0.0,0.0), direction=(0.0,0.0), speed=(0.0,0.0), rotate=20.0, time=211)
Transform(position=(0.0,0.0), direction=(0.0,0.0), speed=(0.0,0.0), rotate=20.0, time=212)
Transform(position=(0.0,0.0), direction=(0.0,0.0), speed=(0.0,0.0), rotate=20.0, time=213)
Transform(position=(0.0,0.0), direction=(0.0,0.0), speed=(0.0,0.0), rotate=20.0, time=214)
Transform(position=(0.0,0.0), direction=(0.0,0.0), speed=(0.0,0.0), rotate=20.0, time=215)
Transform(position=(0.0,0.0), direction=(0.0,0.0), speed=(0.0,0.0), rotate=20.0, time=216)
Transform(position=(0.0,0.0), direction=(0.0,0.0), speed=(0.0,0.0), rotate=20.0, time=217)
Transform(position=(0.0,0.0), direction=(0.0,0.0), speed=(0.0,0.0), rotate=20.0, time=218)
Transform(position=(0.0,0.0), direction=(0.0,0.0), speed=(0.0,0.0), rotate=20.0, time=219)
Transform(position=(0.0,0.0), direction=(0.0,0.0), speed=(0.0,0.0), rotate=20.0, time=220)
Transform(position=(0.0,0.0), direction=(0.0,0.0), speed=(0.0,0.0), rotate=20.0, time=221)
Transform(position=(0.0,0.0), direction=(0.0,0.0), speed=(0.0,0.0), rotate=20.0, time=222)
Transform(position=(0.0,0.0), direction=(0.0,0.0), speed=(0.0,0.0), rotate=20.0, time=223)
Transform(position=(0.0,0.0), direction=(0.0,0.0), speed=(0.0,0.0), rotate=20.0, time=224)
Transform(position=(0.0,0.0), direction=(0.0,0.0), speed=(0.0,0.0), rotate=20.0, time=225)
Transform(position=(0.0,0.0), direction=(0.0,0.0), speed=(0.0,0.0), rotate=20.0, time=226)
Transform(position=(0.0,0.0), direction=(0.0,0.0), speed=(0.0,0.0), rotate=20.0, time=227)
Transform(position=(0.0,0.0), direction=(0.0,0.0), speed=(0.0,0.0), rotate=20.0, time=228)
Transform(position=(0.0,0.0), direction=(0.0,0.0), speed=(0.0,0.0), rotate=20.0, time=229)
Transform(position=(0.0,0.0), direction=(0.0,0.0), speed=(0.0,0.0), rotate=20.0, time=230)
Transform(position=(0.0,0.0), direction=(0.0,0.0), speed=(0.0,0.0), rotate=20.0, time=231)
Transform(position=(0.0,0.0), direction=(0.0,0.0), speed=(0.0,0.0), rotate=20.0, time=232)
Transform(position=(0.0,0.0), direction=(0.0,0.0), speed=(0.0,0.0), rotate=20.0, time=233)
Transform(position=(0.0,0.0), direction=(0.0,0.0), speed=(0.0,0.0), rotate=20.0, time=234)
Transform(position=(0.0,0.0), direction=(0.0,0.0), speed=(0.0,0.0), rotate=20.0, time=235)
Transform(position=(0.0,0.0), direction=(0.0,0.0), speed=(0.0,0.0), rotate=20.0, time=236)
Transform(position=(0.0,0.0), direction=(0.0,0.0), speed=(0.0,0.0), rotate=20.0, time=237)
Transform(position=(0.0,0.0), direction=(0.0,0.0), speed=(0.0,0.0), rotate=20.0, time=238)
Transform(position=(0.0,0.0), direction=(0.0,0.0), speed=(0.0,0.0), rotate=20.0, time=239)
Transform(position=(0.0,0.0), direction=(0.0,0.0), speed=(0.0,0.0), rotate=20.0, time=240)
Transform(position=(0.0,0.0), direction=(0.0,0.0), speed=(0.0,0.0), rotate=20.0, time=241)
Transform(position=(0.0,0.0), direction=(0.0,0.0), speed=(0.0,0.0), rotate=20.0, time=242)
Transform(position=(0.0,0.0), direction=(0.0,0.0), speed=(0.0,0.0), rotate=20.0, time=243)
Transform(position=(0.0,0.0), direction=(0.0,0.0), speed=(0.0,0.0), rotate=20.0, time=244)
Transform(position=(0.0,0.0), direction=(0.0,0.0), speed=(0.0,0.0), rotate=20.0, time=245)
Transform(position=(0.0,0.0), direction=(0.0,0.0), speed=(0.0,0.0), rotate=20.0, time=246)
Transform(position=(0.0,0.0), direction=(0.0,0.0), speed=(0.0,0.0), rotate=20.0, time=247)
Transform(position=(0.0,0.0), direction=(0.0,0.0), speed=(0.0,0.0), rotate=20.0, time=248)
Transform(position=(0.0,0.0), direction=(0.0,0.0), speed=(0.0,0.0), rotate=20.0, time=249)
Transform(position=(0.0,0.0), direction=(0.0,0.0), speed=(0.0,0.0), rotate=20.0, time=250)
Transform(position=(0.0,0.0), direction=(0.0,0.0), speed=(0.0,0.0), rotate=20.0, time=251)
Transform(position=(0.0,0.0), direction=(0.0,0.0), speed=(0.0,0.0), rotate=20.0, time=252)
Transform(position=(0.0,0.0), direction=(0.0,0.0), speed=(0.0,0.0), rotate=20.0, time=253)
Transform(position=(0.0,0.0), direction=(0.0,0.0), speed=(0.0,0.0), rotate=20.0, time=254)
Transform(position=(0.0,0.0), direction=(0.0,0.0), speed=(0.0,0.0), rotate=20.0, time=255)
Transform(position=(0.0,0.0), direction=(0.0,0.0), speed=(0.0,0.0), rotate=20.0, time=256)
Transform(position=(0.0,0.0), direction=(0.0,0.0), speed=(0.0,0.0), rotate=20.0, time=257)
Transform(position=(0.0,0.0), direction=(0.0,0.0), speed=(0.0,0.0), rotate=20.0, time=258)
Transform(position=(0.0,0.0), direction=(0.0,0.0), speed=(0.0,0.0), rotate=20.0, time=259)
Transform(position=(0.0,0.0), direction=(0.0,0.0), speed=(0.0,0.0), rotate=20.0, time=260)
Transform(position=(0.0,0.0), direction=(0.0,0.0), speed=(0.0,0.0), rotate=20.0, time=261)
Transform(position=(0.0,0.0), direction=(0.0,0.0), speed=(0.0,0.0), rotate=20.0, time=262)
Transform(position=(0.0,0.0), direction=(0.0,0.0), speed=(0.0,0.0), rotate=20.0, time=263)
Transform(position=(0.0,0.0), direction=(0.0,0.0), speed=(0.0,0.0), rotate=20.0, time=264)
Transform(position=(0.0,0.0), direction=(0.0,0.0), speed=(0.0,0.0), rotate=20.0, time=265)
Transform(position=(0.0,0.0), direction=(0.0,0.0), speed=(0.0,0.0), rotate=20.0, time=266)
Transform(position=(0.0,0.0), direction=(0.0,0.0), speed=(0.0,0.0), rotate=20.0, time=267)
Transform(position=(0.0,0.0), direction=(0.0,0.0), speed=(0.0,0.0), rotate=20.0, time=268)
